StockCode,Product,Price
,<b>premod or high end cases</b>
-,NEXGEN P4 miditower case 300watt Silver-Black. Front USB.,55,cart
-,Casetek 1007-2B/1007-3 230Watts Tiny Silver/Black Desktop Case,85,cart
-,CASETEK 1016-2A 300 Watts Mid Tower case,89,CART


,<b>Normal power supplies</b>
A-311,ACCES 300W P4 ATX POWER SUPPLY,99.00,cart
A-321(MPT-400),ACCES 400W P4 ATX POWER SUPPLY,110.00,cart
8307234A1(PL-300PC),ENLIT 300W POWER SUPPLY FOR ATX P4 CHASSIS.,55.00,cart
8360934A1(PL-360PC),ENLIT 360W POWER SUPPLY FOR ATX P4 CHASSIS.,88.00,cart

