code,details,price
-,3 Metre Cat 5e RJ45 Ethernet Network Cable,5.50,cart
-,5 Metre Cat5e RJ45 Ethernet Network Cable,11,cart
-,10 Metre Cat5e RJ 45 Ethernet Network Cable,16.50,cart
-,Custom Cable 20 metres or more (qty = per metre),1.10,cart

-,Gigabyte 10/100 8 port switch,84,cart
-,Gigabyte 10/100 Ethernet Card,22,cart
-,Gigabyte 100/1000 Gigabit Ethernet Card,110,cart

-,Swann PCI 10/100 Ethernet card (realtek based), 16.50,cart

-,Swann 4 Port USB 1.0 Hub,27,cart
-,Swann 4 Port USB 2.0 Hub,50,cart
-,Swann 5 Port USB 2.0 PCI card,45,cart

-,Swann Smart II 56k internal PCI2.2 V.92 Modem,33,cart
-,Swann Smart USB External Modem,66,cart
-,Swann Speed Demon External Serial 56k Modem,68,cart
-,Swann Smart Turbo 56k External Modem,95,cart




